,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Germany, West",Billion Kwh,22.325,22.589,22.394,20.713,20.734,19.654,20.726,22.16,22.428,21.082,20.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,Billion Kwh,5.276,5.341,4.941,2.55,1.799,2.996,4.389,4.627,4.811,5.178,5.664,6.075,6.536,6.228,6.033,6.036,6.559,6.782,3.792,5.117,6.544,6.543,4.986,3.846,5.228,5.573,5.563,3.69,6.133,6.808,6.926,7.485,7.99,8.154,8.307,5.79,0,0
Gibraltar,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Billion Kwh,3.396,3.398,3.551,2.331,2.852,2.792,3.222,2.768,2.354,1.888,1.753,3.07,2.326,2.399,2.686,3.632,4.458,3.99218,3.91,4.904,4.27,3.014,3.657,5.985,6.01,6.456,7.645,4.593,5.736,8.15,10.622,8.243,9.322,14.425,12.265,14.646,0,0
Greenland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.171,0.158,0.182,0.18,0.192,0.203,0.196,0.204,0.202,0.265,0.296,0.338,0.345,0.378,0.396,0.423,0,0
Grenada,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.0307,0.0307,0.0307,0.031,0.035,0.04,0.04,0.05,0.05,0.06,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.145,0.05,0.057,0.055,0.052,0,0
Guam,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Billion Kwh,0.576,0.34,0.476,0.8,0.599,0.671,1.7,1.683,1.83,2.067,2.411,2.456,2.155,2.271,2.408,2.32501,2.29529,2.34957,2.22213,3.05806,3.28278,2.964,2.7515,4.277,4.169,4.318,4.606,4.711,4.794,4.414,5.64,5.874,6.25,6.616,7.31,6.643,0,0
Guinea,Billion Kwh,0.148,0.148,0.148,0.153,0.155,0.161,0.163,0.165,0.168,0.17,0.173,0.176,0.178,0.18,0.182,0.191,0.195,0.285,0.307,0.391,0.406,0.546,0.589,0.396,0.549,0.489,0.456,0.533,0.524,0.517,0.482,0.413,0.49,0.481,0.489,0.5,0,0
Guinea0Bissau,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Billion Kwh,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Billion Kwh,0.218,0.223,0.247,0.257,0.267,0.293,0.315,0.317,0.317,0.317,0.368,0.345,0.318,0.271,0.231,0.25,0.269,0.198,0.303,0.265,0.28,0.28,0.257,0.252,0.257,0.262,0.268,0.152,0.179,0.205,0.175,0.12,0.219,0.14,0.089,0.082,0,0
Hawaiian Trade Zone,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Billion Kwh,0.772,0.821,0.846,0.831,0.865,0.866,1.272,1.131,1.739,1.825,2.066,2.098,2.17,2.241,1.8,1.656,2.019,2.064,1.904,2.11,2.238,1.894,1.61,1.76,1.461,1.86,2.191,2.337,2.465,2.937,3.209,3.555,3.788,3.748,3.499,3.767,0,0
Hong Kong,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.093,0.08,0.091,0.095,0.106,0.106,0,0
