,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominica,Billion Kwh,0.011,0.012,0.011,0.018,0.024,0.024,0.026,0.027,0.028,0.029,0.029,0.03,0.03,0.03,0.033,0.044,0.042,0.05,0.062,0.071,0.074,0.078,0.071,0.076,0.076,0.079,0.081,0.082,0.083,0.0885,0.0945,0.0975,0.097,0.097,0.098,0.094,0,0
Dominican Republic,Billion Kwh,3.137,3.573,3.198,3.392,4.104,4.218,4.605,4.476,4.267,3.255,3.497,3.69,3.958,5.189,4.806,5.181,6.263,6.838,7.27,8.564,8.06666,9.73262,11.81588,12.54338,11.1875,11.9804,13.05994,13.64974,11.676,11.5575,12.2945,13.017,14.043,14.61,14.867,15.644,0,0
Ecuador,Billion Kwh,3.186,3.535,3.904,4.117,4.113,4.706,5.197,5.257,5.504,5.636,6.215,6.807,7.001,7.25,8.008,8.181,9.097,9.389,9.883,10.048,10.35582,10.74026,11.55122,11.211717,13.089442,12.16188,14.12804,16.58504,18.26504,17.92904,18.785,19.88524,22.10634,22.4421,23.45476,24.97254,0,0
Egypt,Billion Kwh,18.256,20.498,19.939,22.487,29.316,32.3,33.484,36.744,35.401,37.695,41.4081,42.5601,43.4961,47.7521,50.0701,52.6912,51.7652,55.5322,59.8092,65.1742,74.14766,79.05534,84.49358,90.14544,95.88528,102.83456,109.16624,118.44692,123.9842,131.37096,138.74524,148.7095,155.4964,158.72656,165.17128,171.82618,0,0
El Salvador,Billion Kwh,1.661,1.683,1.786,1.544,1.837,1.756,1.668,1.907,1.987,2.031,2.025,1.926,2.026,2.408,2.833,3.263,3.334,3.526,3.712,3.689,3.726,3.79,3.973,4.265,4.3496,4.7134,5.598,5.724,5.988,5.848,6.088,6.001,6.18,6.202,6.172,5.918,0,0
Equatorial Guinea,Billion Kwh,0.017,0.015,0.014,0.012,0.015,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.042,0.054,0.061,0.076,0.08,0.085,0.09,0.094,0.094,0.094,0.126,0.269,0.425,0.425,0.425,0.425,0,0
Eritrea,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.162,0.181,0.1784,0.184962,0.201,0.19746,0.21908,0.24352,0.26044,0.26608,0.27078,0.25298,0.27084,0.2699,0.27742,0.29446,0.3189,0.33958,0.34992,0.36684,0.38376,0,0
Estonia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,11.121,8.571,8.602,8.172,8.557,8.666,8.011,7.773,8.00054,7.9855,8.09144,9.60974,9.68936,9.59936,9.15588,11.4673,9.95796,8.28472,12.2488,12.19016,11.3376,12.5553,11.78696,9.88978,0,0
Ethiopia,Billion Kwh,0.651,0.68,0.746,0.787,0.837,0.892,0.949,1.1,1.172,1.218,1.199,1.211,1.221,1.435,1.433,1.453,1.536,1.595,1.634,1.627,1.65662,1.98996,2.02274,2.27204,2.51292,2.81628,3.2354,3.50328,3.71608,3.93066,4.92944,6.27208,7.51738,8.61862,9.42592,10.34086,0,0
Falkland Islands (Islas Malvinas),Billion Kwh,0.002,0.003,0.003,0.003,0.006,0.008,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.0142,0.0152,0.0152,0.01525,0.01525,0.01525,0.0163,0.0163,0.018,0.018,0.016,0.016,0.017,0.017,0.017,0.019,0,0
Faroe Islands,Billion Kwh,0.152,0.157,0.161,0.161,0.169,0.182,0.18,0.184,0.205,0.206,0.202,0.194,0.191,0.173423,0.168605,0.16757,0.17462,0.175673,0.183441,0.192787,0.204017,0.221173,0.230724,0.238492,0.239156,0.235753,0.249856,0.25942,0.264851,0.264517,0.268143,0.264,0.28,0.28,0.297,0.307,0,0
Fiji,Billion Kwh,0.29,0.297,0.303,0.311,0.378,0.386,0.392,0.403,0.394,0.406,0.478,0.483,0.481,0.491,0.529,0.553,0.554,0.56002,0.556022,0.59995,0.5581,0.6141,0.6241,0.6491,0.6691,0.7051,0.7561,0.7941,0.7851,0.7901,0.8351,0.8011,0.803,0.857,0.859,0.892,0,0
Finland,Billion Kwh,38.71,39.115,39.355,40.347,43.226,47.316,46.916,50.847,43.97,51.187,57.005,60.36,55.507,58.645,62.865,61.299,66.3682,65.52758,67.473,66.683,67.0747,71.23686,71.53498,80.30388,82.06266,67.86486,78.8327,77.9372,74.3593,69.14244,77.28658,70.57646,67.87746,68.61042,65.6585,66.39436,0,0
Former Czechoslovakia,Billion Kwh,72.148,69.133,70.426,71.853,73.886,76.343,80.517,80.36,81.747,83.552,81.249,78.415,77.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Serbia and Montenegro,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,34.866,31.681,32.213,35.268,38.05,37.97,35.191,30.946,31.842,32.745,33.032,33.24,35.69,34.546,0,0,0,0,0,0,0,0,0,0,0,0
Former U.S.S.R.,Billion Kwh,1294.003644,1252.196392,1367.782245,1416.611743,1492.097622,1545.008714,1509.636799,1571.817431,1610.209352,1642.899789,1636.14341,1607.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Yugoslavia,Billion Kwh,57.153,58.204,59.758,63.67,69.923,72.091,75.121,77.257,79.935,78.931,78.69,75.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Billion Kwh,250.576,261.83,264.564,280.028,306.146,324.343,341.51,355.851,370.555,384.436,396.252,428.584,438.0358,447.433,453.011,467.8905,483.499,476.815,482.467,494.583,509.72866,519.5097,526.18538,533.6512,540.64528,544.73006,543.03418,538.18518,544.0495,507.46636,540.02524,532.31472,535.92664,541.01718,534.32704,540.12256,0,0
French Guiana,Billion Kwh,0.106,0.116,0.129,0.154,0.169,0.194,0.209,0.233,0.265,0.294,0.332,0.381,0.418,0.419,0.419,0.423,0.423,0.425,0.426,0.428,0.428,0.585,0.606,0.631,0.655,0.681,0.706,0.901,0.922,1.026,1.093,1.004,0.813,0.817,0.837,0.83,0,0
French Polynesia,Billion Kwh,0.239,0.262,0.272,0.216,0.192,0.208,0.213,0.213,0.243,0.258,0.277,0.287,0.302,0.308,0.32,0.335,0.337,0.343,0.34,0.347,0.389,0.472,0.522,0.572,0.612,0.601,0.627,0.656,0.684,0.698,0.78,0.725,0.728,0.703,0.68,0.626,0,0
Gabon,Billion Kwh,0.51,0.579,0.651,0.711,0.777,0.842,0.848,0.852,0.858,0.882,0.985,1.001,1.027,1.067,1.071,1.181,1.185,1.241,1.275,1.291,1.2767,1.34506,1.4286,1.46482,1.48414,1.513,1.609,1.68,1.778,1.801,1.86486,1.96148,2.08036,2.01782,1.91848,2.04524,0,0
"Gambia, The",Billion Kwh,0.037,0.045,0.044,0.045,0.047,0.048,0.053,0.058,0.061,0.057,0.066,0.066,0.067,0.069,0.069,0.07,0.071,0.075,0.082,0.091,0.1105,0.127,0.142,0.158,0.174,0.191,0.203,0.215,0.227,0.227,0.23,0.241,0.251,0.245,0.245,0.24,0,0
